50000	CE
50001	MS
50002	LRZ
50003	RR
50004	KM
50005	JL
50006	CF
50007	JRS
50008	MR
50010	DSVW
50011	GR
50012	MP
50013	JW
50015	BT
50016	JPW
50018	BJ
50019	EG
50020	FMW
50022	LM
50023	MN
50024	LM
50025	JK
50026	WW
50027	CJ
50028	HH
50029	JR
50030	KV
50031	LR
50035	FZ
50038	DRR
50040	BC
50042	CW
50043	CL
50044	MM
50046	CC
50047	AS
50048	AM
50050	CW
50053	MT
50054	ILS
50055	AB
50056	AK
50058	FK
50059	PW
50062	CJ
50064	CEK
50066	AW
50067	HKS
50068	JSV
50070	FV
50071	HT
50073	CD
50074	DD
50076	EL
50077	GH
50078	BD
50079	CG
50080	LS
50081	AM
50083	TV
50084	GJ
50085	AEG
50087	BES
50088	BF
50090	JM
50091	BL
50093	BB
50094	JP
50095	JT
50097	HJ
50098	JL
50099	LM
50101	FRS
50104	HN
50105	BRS
50107	FL
50108	ASW
50110	JR
50111	DD
50112	MP
50114	CN
50115	DDH
50117	AG
50121	AH
50123	GM
50125	FLR
50129	BH
50130	PR
50131	SW
50132	SS
50134	NRW
50135	HH
50136	FS
50138	CM
50140	JY
50141	CR
50142	RT
50144	JL
50146	LS
50147	MZ
50148	ARS
50150	FL
50151	HJ
50152	GJS
50154	BL
50155	SW
50157	GS
50159	GN
50160	GJ
50161	LL
50162	AD
50165	CJ
50166	CR
50167	DM
50168	JM
50169	HK
50172	HR
50174	RR
50175	GH
50176	HL
50181	AF
50183	CC
50185	CGL
50189	AW
50190	CI
50191	CC
50193	GM
50195	FG
50196	QR
50198	AIPW
50199	DD
50200	AH
50201	RT
50203	MS
50204	GM
50207	HJW
50208	MP
50214	AD
50216	AJ
50217	CR
50218	HJ
50221	AM
50222	GK
50223	DH
50226	MNZ
50227	KP
50229	GU
50232	WW
50236	CS
50239	AH
50245	LM
50246	NT
50247	JKRW
50249	EGJ
50250	MN
50252	DP
50253	FJ
50256	CD
50258	AAS
50259	RZ
50263	CE
50264	AM
50269	DILÁ
50270	LR
50271	BE
50272	MN
50273	LS
50276	AC
50278	MP
50279	FT
50280	LS
50285	JMN
50287	RW
50289	DH
50291	LRV
50293	DG
50294	FJ
50297	ALW
50298	GW
50299	KMT
50301	DW
50303	CE
50305	HL
50306	AH
50307	BR
50308	SV
50312	AI
50315	CE
50317	AD
50318	AES
50319	DT
50320	AJ
50321	FR
50322	DH
50323	AJR
50324	JN
50325	PS
50326	AL
50327	BC
50329	DK
50330	NRW
50331	ABW
50333	FG
50334	JJ
50337	GW
50338	SW
50339	GL
50340	CR
50346	JM
50347	OW
50348	AS
50350	CT
50351	ST
50353	IR
50354	ER
50356	HJ
50357	BJ
50359	HY
50360	CR
50362	IJW
50363	BW
50367	HK
50369	KZ
50370	AD
50372	MR
50375	KR
50377	AJ
50378	AA
50379	AL
50380	RS
50382	FGV
50383	OS
50384	CL
50385	ADMP
50387	PS
50392	GH
50393	EN
50401	CM
50402	DW
50404	LS
50405	CE
50406	LM
50408	AA
50412	MW
50415	BW
50416	PW
50420	AM
50422	GP
50423	GP
50424	CV
50426	FL
50428	MN
50431	BH
50432	GIS
50434	AHJ
50439	DS
50441	LR
50442	CW
50444	BC
50445	KP
50446	DS
50447	BJ
50448	RW
50455	HR
50460	GJT
50461	GT
50463	LM
50464	RV
50465	AM
50466	DS
50471	OP
50472	MS
50474	JW
50477	DJ
50478	JL
50479	JT
50481	CJ
50483	CT
50484	BD
50485	AMV
50491	GS
50493	BJ
50494	GT
50497	BP
50498	KWW
50500	DD
50502	GS
50504	FL
50505	KR
50506	MO
50507	DS
50508	JK
50510	LT
50513	FX
50517	HS
50521	MV
50522	IL
50523	FT
50528	FZ
50529	GV
50531	JJ
50532	NT
50533	AD
50537	FMW
50539	AG
50541	BJ
50542	AM
50543	RR
50545	LW
50546	SZ
50549	RU
50550	MS
50553	NR
50554	KT
50556	TW
50558	BCD
50560	DK
50562	KM
50563	BDI
50564	JS
50565	FJ
50569	CG
50570	BK
50571	MR
50572	NR
50573	GS
50575	ALS
50577	DGG
50579	JLM
50580	EEJ
50582	JM
50584	LW
50585	AS
50586	BC
50588	JLT
50589	BS
50590	BS
50591	SV
50597	CS
50599	LS
50601	ELM
50604	PS
50610	HH
50612	DS
50614	BT
50615	LS
50617	MR
50619	AHP
50620	DW
50626	EK
50628	AS
50630	PR
50631	DFR
50632	CC
50633	BF
50634	SV
50637	MP
50641	FO
50643	GJT
50646	ACF
50648	MS
50650	MN
50651	BH
50652	CD
50655	BF
50656	DL
50659	GS
50661	BB
50662	AR
50663	PV
50666	EES
50671	JT
50673	SS
50675	AJ
50676	GY
50677	BG
50682	ST
50684	CMW
50685	HT
50686	BL
50687	ADT
50688	CJ
50690	BS
50693	BJ
50694	BB
50695	BC
50696	CJ
50701	DM
50702	AT
50705	PS
50711	ARS
50713	JMS
50717	AAW
50718	BG
50721	BH
50725	BP
50728	JP
50729	KS
50730	KS
50733	AR
50735	DE
50749	FM
50750	DR
50752	OR
50753	AR
50754	PS
50760	BCDM
50761	BW
50764	CR
50766	BIR
50769	BS
50771	RR
50773	BH
50780	AN
50781	BE
50782	JL
50784	BB
50785	QT
50786	BS
50788	KS
50790	HI
50791	FR
